Minisector,NOR,VER,Fastest
0,256.0258425892421,253.64186804970726,NOR
1,219.4291104711111,211.63498614030163,NOR
2,208.60635845121953,202.7105359576541,NOR
3,254.97757587925926,262.46673909520047,VER
4,269.94046707678433,278.7889653794345,VER
5,290.4280209303704,294.04219392249246,VER
6,160.0710333003954,142.94105860111964,NOR
7,179.2797747697831,190.26144046765188,VER
8,265.86047156221423,271.4904797378695,VER
9,298.0235906361905,298.1271206972121,VER
10,310.24657505619706,310.7880193013077,VER
11,313.0848212503704,310.8417992460243,NOR
12,117.73519555626284,108.30521782276527,NOR
13,185.8269131817344,197.73436577417536,VER
14,268.5752185396825,271.5922800299415,VER
15,294.63360844879816,296.36113638358444,VER
16,302.49833333333333,299.6250702151515,NOR
17,191.09225170493508,188.44253824262728,NOR
18,222.1303346982313,216.65881414747153,NOR
19,272.5963526250292,270.9888888888889,NOR
20,146.24462385738707,142.59429923190137,NOR
21,142.86658578051558,144.7912486342065,VER
22,217.78814999558097,215.51509519786666,NOR
23,234.03343650841012,242.77649260554017,VER
24,161.4220758711496,158.71764427742093,NOR
25,224.85499776,225.00749952,VER
