Minisector,VER,ALO,Fastest
0,296.3139273414588,298.76567464126987,ALO
1,286.53168559720893,281.17429769701823,VER
2,185.15905208828434,178.1097464019147,VER
3,212.5828717196215,198.33555443962223,VER
4,226.6097367082061,221.73773750538706,VER
5,267.501999744,265.4891664722929,VER
6,241.66626470127233,230.0111258138823,VER
7,218.7329439681567,210.178030189899,VER
8,176.55076389523714,163.43664752356216,VER
9,181.6724619168234,171.66712472666376,VER
10,195.23862352623294,181.81334508536892,VER
11,214.11439306285214,198.75020211786241,VER
12,254.80153205365397,182.21655375448276,VER
13,177.10077683810957,173.79049132309146,VER
14,247.07300713863225,253.14817229366142,ALO
15,274.9842579748416,272.7984410379669,VER
16,275.6021791527204,259.68044048302875,VER
17,273.0976449391304,250.50801713665618,VER
18,264.26997808992627,256.3405399954781,VER
19,256.55024290652557,238.1469251938004,VER
20,264.8814063370069,264.5075667449376,VER
21,204.93060147099132,176.80004601523078,VER
22,225.7738989043119,240.85624211905753,ALO
23,274.46949973333335,280.1445017001063,ALO
24,285.2581521623188,293.50983912156863,ALO
25,286.0,,VER
