Minisector,NOR,HAM,Fastest
0,277.5682737350702,268.6188972382587,NOR
1,303.2016110806719,288.0702649595682,NOR
2,307.6245595840822,285.11035687597706,NOR
3,120.26132234733063,122.68386161699597,HAM
4,194.13684242504203,193.9498658070073,NOR
5,252.1085116874283,248.30218911890947,NOR
6,133.22375757164465,140.63845335903954,HAM
7,200.11479778290956,205.75023730009596,HAM
8,257.87416048589404,256.08423708126446,NOR
9,281.46114481347814,276.36547238861175,NOR
10,228.87963054779897,229.1383700149403,HAM
11,173.5382780676646,171.52868411155336,NOR
12,191.32826395497958,188.88694381082604,NOR
13,138.88247297473353,142.78692021088915,HAM
14,171.5304006449992,180.2881231315849,HAM
15,159.58300547133902,159.1068173751933,NOR
16,216.4196346967366,217.15270916849641,HAM
17,234.48553537765096,234.27551981946755,NOR
18,239.85383572906244,237.93815245056206,NOR
19,224.81199580534346,245.08850921675213,HAM
20,142.33755185112992,139.87664950566023,NOR
21,125.67178655053655,134.20781364597008,HAM
22,168.6069601365894,169.40187518227665,HAM
23,151.6505574029861,149.27589033419233,NOR
24,227.24588875316417,223.52756287834515,NOR
