Minisector,VER,OCO,Fastest
0,298.63083349333334,304.2915366777778,OCO
1,203.15196910074783,212.10291477911503,OCO
2,144.99549803518207,135.7200011888285,VER
3,219.49193858839826,216.58252248443682,VER
4,160.9564983822306,152.95656217658046,VER
5,181.80372858509423,167.98179017111718,VER
6,251.00262405530864,248.22182603174602,VER
7,276.9206582810961,276.8336887156922,VER
8,285.0007986285714,283.20351884369745,VER
9,249.75643128888888,262.30683765194806,OCO
10,244.22585399024774,245.5092156229515,OCO
11,234.3926209382716,238.18105025993268,OCO
12,205.52603683451954,213.84839009759938,OCO
13,140.4182685631169,133.62118136618713,VER
14,145.50813281426167,139.3792153838151,VER
15,182.59563393054944,179.49049466592712,VER
16,251.25381513939192,250.05348317783842,VER
17,234.57911940458553,233.1085865194956,VER
18,117.57260983385285,112.69979295933885,VER
19,198.66425416966183,197.16483718237896,VER
20,194.3473861999829,191.66092777358446,VER
21,234.3564787116883,233.3020286434039,VER
22,262.1437040458862,264.7266351879235,OCO
23,281.23391830291945,284.0803916988235,OCO
24,292.67084848,296.31005703740186,OCO
