Minisector,VER,ALO,Fastest
0,281.9394506238603,283.2645293166843,ALO
1,123.70385677013142,118.64997408963038,VER
2,161.94534222250445,164.27492158901535,ALO
3,217.56581323658725,206.14805473773785,VER
4,165.24812101213132,170.5669325467626,ALO
5,244.7581799360242,243.80417111238094,VER
6,215.11314765217392,189.4771826772294,VER
7,141.15587768910407,141.4365550248747,ALO
8,237.40171837714286,239.13393882144817,ALO
9,276.06390051137254,278.18325564190474,ALO
10,287.5490730955315,272.87640224996875,VER
11,154.05571515084486,152.63420969365802,VER
12,223.43650745190013,230.56907229465827,ALO
13,270.9402575174943,272.46986914555555,ALO
14,269.08183040694564,244.78105368446708,VER
15,96.86345441992502,99.70145200402683,ALO
16,218.1917044285306,217.02769480175613,VER
17,272.7869214233766,274.28577753071744,ALO
18,294.87046048750636,304.4023995104643,ALO
19,305.4335635805195,317.8155714156014,ALO
20,311.1181469707602,324.4036673705495,ALO
21,288.1461556404509,255.733857630839,VER
22,160.89939309260163,153.66459659878743,VER
23,238.1685923886595,243.3597984302068,ALO
24,281.49473720760886,283.48311627271516,ALO
25,289.0571428571429,,VER
