Minisector,GAS,VET,Fastest
0,279.0190717005437,279.70946879927953,VET
1,296.0578094994286,296.9842714388993,VET
2,292.93116175223037,296.4040194598194,VET
3,174.22322783182221,171.7140121715601,GAS
4,123.91189905385647,121.84148866118528,GAS
5,237.11874342708427,240.26850407217162,VET
6,280.37546196067586,282.8295671794872,VET
7,290.1947539949604,293.2872867903224,VET
8,184.87167857605627,182.45546270050647,GAS
9,146.51906530391017,143.514234712902,GAS
10,255.4180232390258,253.8386644371074,GAS
11,290.44993571000504,290.5180475184762,VET
12,302.07151254219576,301.53628423166646,GAS
13,284.86586596628086,277.4715151309339,GAS
14,293.7316757555907,294.4872718676415,VET
15,297.9996920217033,297.908166784,GAS
16,264.32933016396026,257.649535895751,GAS
17,228.9849493067713,221.28691434724576,GAS
18,275.39707096479646,274.5505630389708,GAS
19,294.352958368,296.7091237934562,VET
20,300.0177684779842,302.60022474362813,VET
21,234.0939991962154,234.24393106235738,VET
22,261.7329338038739,258.1068629325965,GAS
23,143.10576753161328,143.13280547734064,VET
24,219.11150270123264,211.12607914639574,GAS
25,261.2750016,260.73333333333335,GAS
