Minisector,SAI,MSC,Fastest
0,269.61555428131373,271.79488722962964,MSC
1,288.1770998789035,291.7916885445614,MSC
2,288.2587656606211,289.42012118342177,MSC
3,181.66030546342353,167.62110425676985,SAI
4,124.09028513102453,118.26446863954786,SAI
5,234.3883842871795,234.71468340287984,MSC
6,274.7672968870037,279.2911376064771,MSC
7,281.8261957538717,287.9071275895752,MSC
8,188.00079706950098,171.12410608505087,SAI
9,145.37985411047705,142.90296613752957,SAI
10,245.37847145818182,249.12334415513342,MSC
11,281.307872414409,283.0615505872132,MSC
12,296.34228170307455,286.6097517677922,SAI
13,284.0869574432323,274.08112338650955,SAI
14,295.7854707934199,292.52494579440116,SAI
15,293.3959648748538,285.5539454735995,SAI
16,248.10756243482004,236.60322181756615,SAI
17,218.03220441520733,223.67604932100969,MSC
18,270.20287867580504,274.6896966595828,MSC
19,293.0289255204294,296.27401684281426,MSC
20,295.77618097683745,296.38346904,MSC
21,234.39764276825434,225.48443636627164,SAI
22,254.32990775454093,254.60718648909204,MSC
23,139.09525352795737,127.91851303816992,SAI
24,215.90815656462877,217.04393154390894,MSC
25,253.218748,,SAI
