Minisector,HAM,STR,Fastest
0,306.4955321392073,301.6878595440116,HAM
1,320.6289904253968,319.8206765171501,HAM
2,290.9675051275782,295.48069030647343,STR
3,107.64542079061006,108.54423284930556,STR
4,231.76214398837604,228.20476550464858,HAM
5,270.68620132041406,275.1486798708075,STR
6,218.507135225679,190.48233595269232,HAM
7,165.2625602996893,168.1825068671439,STR
8,210.1999967960338,198.6115652891125,HAM
9,221.04553179523302,212.27542411954647,HAM
10,115.32231580899003,115.90322925873012,STR
11,227.47976739779048,221.87373141312023,HAM
12,118.37546119119985,110.58718965730871,HAM
13,218.85989112017734,232.44031270909602,STR
14,274.861382932987,286.0998321395932,STR
15,231.4900316730543,206.41375563848544,HAM
16,199.8574057720068,204.14507775426222,STR
17,251.42112750524575,243.39712034336753,HAM
18,201.5481091664762,186.12236991581617,HAM
19,184.3363888377558,200.40652114735298,STR
20,264.4623250820183,265.92953513454546,STR
21,288.55889732330826,288.48922399220555,HAM
22,168.94220115033485,160.97513690701646,HAM
23,215.7606422679365,224.02630287881883,STR
24,272.067556377547,273.4672492292977,STR
25,285.7750016,,HAM
