Minisector,VER,RIC,Fastest
0,235.13549018938704,232.39772462222223,VER
1,282.35762984588746,280.53756712281574,VER
2,293.63512313470034,293.1590284204378,VER
3,296.441341991342,295.5625000727273,VER
4,263.2748282276348,266.30168052529626,RIC
5,174.18141167891156,177.73082959327732,RIC
6,259.24806353812744,258.2998838034116,VER
7,276.5353670539683,275.1056612753623,VER
8,220.80518964486456,225.79412362979204,RIC
9,221.78633028571429,217.59118430755558,VER
10,191.79042198281203,193.17470186961563,RIC
11,224.86360906384482,224.57190465693122,VER
12,210.80315333062728,209.53174125958796,VER
13,218.32496792711277,216.84412995993432,VER
14,223.19395008329573,224.2066938018881,RIC
15,185.66304299176397,189.14467402795137,RIC
16,247.85457767032966,247.82311877648698,VER
17,286.8307036102501,287.53031763301584,RIC
18,300.1284082973865,303.3032196848485,RIC
19,288.97091276190474,294.12431918004535,RIC
20,134.419142851985,134.00435903285194,VER
21,170.3105831021112,167.19855942527118,VER
22,157.5888581064691,155.19256824203194,VER
23,208.63991341750682,207.98597629247314,VER
24,151.74850763019558,147.4233642813788,VER
25,,181.80000426666666,RIC
