Minisector,ANT,HAM,Fastest
0,270.30142777563475,274.4716281556254,HAM
1,255.01788283614619,253.1357654164502,ANT
2,126.59753954424242,121.59792387675085,ANT
3,166.788855968354,177.30802676060605,HAM
4,203.29896261946448,198.4244026800586,ANT
5,192.93954636478097,204.00997630927912,HAM
6,262.65699150169274,266.0606750520755,HAM
7,286.708947671579,286.82619021544974,HAM
8,249.76739973904762,248.6188254196578,ANT
9,150.53654248485176,151.87927090816126,HAM
10,122.26515036249172,124.63161742870088,HAM
11,161.23026454089236,165.12439599014436,HAM
12,238.4475506955665,248.46780236606062,HAM
13,165.93822763754824,167.20568595015808,HAM
14,147.3262667733432,153.31345147107854,HAM
15,109.94062069907454,113.69905494872768,HAM
16,210.72630565939886,213.67334816212653,HAM
17,240.85709409158005,249.65233784550895,HAM
18,118.99511566788358,132.94367115005292,HAM
19,237.41812022194617,236.36311237101478,ANT
20,271.89768392689774,278.86358512733153,HAM
21,218.00365973278912,216.6043662232069,ANT
22,140.62462150763432,150.57329295429022,HAM
23,215.22518882763922,222.29918035888616,HAM
24,229.8802269372544,228.81193556265094,ANT
25,256.7666645333333,259.720832,HAM
