Minisector,VET,NOR,Fastest
0,262.0267045347166,257.0127455517661,VET
1,213.94202541396538,198.6750825713069,VET
2,225.458363659015,222.1297981537263,VET
3,264.7493842096451,261.7607975203701,VET
4,278.78377792451397,272.58480082139056,VET
5,232.92407201253167,212.92360982344516,VET
6,97.04005135723467,90.66037790884096,VET
7,184.16700098693022,196.6293634930011,NOR
8,269.167177511826,272.9269498680154,NOR
9,293.673645056876,295.2611461376116,NOR
10,301.06536143582116,304.06311498534023,NOR
11,299.6387284880922,302.3847204977778,NOR
12,113.69374784106286,108.73671437332936,VET
13,218.58928540814628,224.6397364214836,NOR
14,277.41213421018773,280.6431662402872,NOR
15,296.42810677313105,299.35492867214504,NOR
16,232.5229285155148,209.30890823459922,VET
17,126.62449287429,121.32534979433092,VET
18,155.58414353797997,153.79337460084938,VET
19,256.4653527505874,252.13768395248152,VET
20,159.64262812188306,145.28076816716728,VET
21,129.40764528635242,127.6786697560476,VET
22,212.19201556003742,209.10783739035332,VET
23,215.51843412693714,193.9297750913191,VET
24,172.25465418207273,162.67689950255584,VET
25,234.4333312,,VET
