Minisector,STR,VET,Fastest
0,244.19843092994748,247.02824939266768,VET
1,206.69857179428573,205.16957291786235,STR
2,201.410870133398,198.5917946567894,STR
3,254.28635418417502,248.22534506771734,STR
4,270.36901152506124,265.0704777971093,STR
5,277.20364908985505,276.0124241856277,STR
6,160.8770145602822,159.36916084999342,STR
7,173.6986421539718,182.76440972584274,VET
8,262.0277201477887,261.280916768254,STR
9,288.40406277253106,286.747158692987,STR
10,297.2933248076927,296.90661532631583,STR
11,292.8728653174641,293.76856374720944,VET
12,115.70346154946799,112.73101345004464,STR
13,187.1577028600391,196.31641040548007,VET
14,263.33582115978726,264.39592012985133,VET
15,290.74552284734693,290.2818729881552,STR
16,292.0970896322255,290.34229191111115,STR
17,182.00886018862914,178.19008519632024,STR
18,213.1048698794942,210.78214158114773,STR
19,260.51493094603177,258.84530746469784,STR
20,155.34596618715898,153.16385060154235,STR
21,138.84517249021522,136.69908369204722,STR
22,215.3927455874032,215.6802826264316,VET
23,222.81295433560388,229.04864323491205,VET
24,150.32776431891355,151.43678535894182,VET
25,,220.83888497777778,VET
