Minisector,SAI,ALB,Fastest
0,309.56520783999997,284.9950961342404,SAI
1,325.7929809797013,291.58442986666665,SAI
2,336.31851350059657,294.23289465263156,SAI
3,327.82754755555555,289.755120152381,SAI
4,160.64274431958077,174.52373801558443,ALB
5,205.81914510710132,207.6349325792256,ALB
6,233.56583330133333,226.47645189485712,SAI
7,267.26963753342767,260.5751300350901,SAI
8,256.7953560231579,255.5442376380952,SAI
9,163.59678593764707,164.7110914599758,ALB
10,227.99133450149716,226.3682264655238,SAI
11,132.72578740897458,136.16860639283817,ALB
12,230.11666666666667,224.35786923456791,SAI
13,188.31919483297335,194.49381855765995,ALB
14,217.97968944721694,211.26185965714285,SAI
15,244.82639328523496,239.37600540961478,SAI
16,264.1287628624176,254.2103257043478,SAI
17,287.4134920634921,277.79955548554125,SAI
18,122.95926325039308,138.6232551259908,ALB
19,158.701844993458,158.67541049654326,SAI
20,144.81756451337577,145.85473203360883,ALB
21,159.97545754893693,168.20275770980393,ALB
22,113.868299000538,117.87346505334433,ALB
23,228.0657647751307,221.2261652906667,SAI
24,271.6903971283159,264.31546989314216,SAI
25,,280.3888881777778,ALB
