Minisector,PIA,LAW,Fastest
0,268.82585098209523,269.11819042432745,LAW
1,287.30382239492064,287.35280225269844,LAW
2,293.78607162890756,292.50398207910365,PIA
3,131.24465315861949,131.32097823553633,LAW
4,198.08433210655625,193.99449039269075,PIA
5,255.22358610665668,254.4285103784874,PIA
6,145.2537878290476,143.14617911344672,PIA
7,211.6578684409931,205.55494381716494,PIA
8,258.2722124958025,257.07293730538163,PIA
9,274.82480236270675,279.9237023885714,LAW
10,245.79135031594134,239.9116735380269,PIA
11,185.334931336409,182.56931406087583,PIA
12,198.439878376178,191.68263124714903,PIA
13,141.00388937415917,137.73822392316586,PIA
14,178.74901341619446,172.92982175994672,PIA
15,166.6338278179069,164.74599204981683,PIA
16,222.01180117267083,220.7618514280635,PIA
17,245.17641662464766,234.77108871688313,PIA
18,249.05540953452171,242.0440086517749,PIA
19,241.57097866545732,242.55068984533332,LAW
20,149.91268037284826,140.79747069740833,PIA
21,134.4769294605628,132.81455488318997,PIA
22,169.7085432373788,168.46415971165752,PIA
23,153.8178599268661,154.37310427526882,LAW
24,233.13399026526315,230.68105488390626,PIA
25,258.08571245714285,,PIA
