Minisector,RIC,VET,Fastest
0,249.88069260606062,247.02824939266768,RIC
1,200.95307160430107,205.16957291786235,VET
2,196.16573960357144,198.5917946567894,VET
3,250.92043715109187,248.22534506771734,RIC
4,265.6865144295873,265.0704777971093,RIC
5,280.3267290104309,276.0124241856277,RIC
6,153.7533189169277,159.36916084999342,VET
7,173.06796977868962,182.76440972584274,VET
8,262.5639641955473,260.5948387047619,RIC
9,288.6086914545029,286.02264561246756,RIC
10,299.5653950337662,296.71128456,RIC
11,296.55047804341245,293.76856374720944,RIC
12,105.16549455213128,112.65060333611767,VET
13,187.99618086031745,190.50684513651723,VET
14,268.0017981706293,264.39592012985133,RIC
15,291.79419139381787,290.2818729881552,RIC
16,293.37140875522425,290.34229191111115,RIC
17,177.42799674077128,178.19008519632024,VET
18,219.09007467007774,210.78214158114773,RIC
19,264.02696183555554,258.84530746469784,RIC
20,149.64703266023716,153.7634915205303,VET
21,136.28254961194787,136.54104399174602,VET
22,210.1790242179253,215.6802826264316,VET
23,215.24242199874894,231.82822261398286,VET
24,153.65788710519215,151.50606143032175,RIC
25,221.7500096,220.83888497777778,RIC
