Minisector,PER,NOR,Fastest
0,297.4343625535353,314.4251112581818,NOR
1,217.220113400685,206.98527589622333,PER
2,230.59439611989023,224.99840095980466,PER
3,276.53748987716307,281.4485073308119,NOR
4,245.88681989594303,233.00168905295237,PER
5,132.57548787655284,125.15662691696895,PER
6,204.8404853186977,212.7635672916787,NOR
7,256.88269222890267,262.86725662211177,NOR
8,262.27974260016896,237.82944902566362,PER
9,243.90101773253247,235.90102427555556,PER
10,277.36874772206204,275.1272847004444,PER
11,293.243062344696,289.5896765596331,PER
12,302.5405038059422,306.721828433824,NOR
13,307.2261140991087,320.80455130728774,NOR
14,307.44779390802137,325.35845962828284,NOR
15,272.7217119745992,262.05085355682536,PER
16,244.8154847352981,247.58100228565752,NOR
17,278.84856654545456,286.5282393538756,NOR
18,291.98757171437336,303.2691053258346,NOR
19,157.23970126554192,158.44357745088433,NOR
20,213.8587528707626,206.96376901681023,PER
21,198.76575114099916,179.62250190640324,PER
22,143.45771719852627,145.045471456994,NOR
23,240.9222952992477,243.85026004962614,NOR
24,285.33716978624335,296.9110427247473,NOR
25,295.7500003555555,,PER
