Minisector,NOR,ZHO,Fastest
0,313.92660627422526,319.64879388070176,ZHO
1,321.68721087564626,337.3572294372294,ZHO
2,318.1418184117649,340.1957008060251,ZHO
3,197.6235137335941,192.50205725560522,NOR
4,124.0266955036296,124.04955985846644,ZHO
5,259.11311167916136,261.1133280782222,ZHO
6,294.67396725606545,298.9734693877551,ZHO
7,308.6297183759987,312.6089028266667,ZHO
8,276.7976025562967,253.99948095238094,NOR
9,143.5099651765273,142.00850464267643,NOR
10,214.37114095459367,207.50452641500544,NOR
11,211.0740432164933,201.0257642563198,NOR
12,192.77052205573605,179.08460611860227,NOR
13,262.19105681375066,262.1896329302011,NOR
14,298.74572475409656,308.12455369142856,ZHO
15,310.1166917293233,329.5417647058824,ZHO
16,265.95956299560635,268.4390597000223,ZHO
17,210.98690218423607,193.67971212121213,NOR
18,268.6489710639032,264.93633632050836,NOR
19,300.7948894890994,305.32045918367345,ZHO
20,315.1981097106173,319.50197923707935,ZHO
21,301.32772813460315,299.90611471861473,NOR
22,204.9505934469342,188.76188758357307,NOR
23,261.3611364533745,258.7082045454546,NOR
24,295.49153647193816,299.4954543261573,ZHO
25,307.94000128,315.0,ZHO
