Minisector,LEC,HUL,Fastest
0,286.9935209770308,276.95138717680265,LEC
1,122.43118020729732,119.85767289015276,LEC
2,167.84240787252833,154.0312369454865,LEC
3,210.7384833921429,209.8567225913628,LEC
4,164.96728575587554,159.21917540680275,LEC
5,247.36112965102538,243.95810490049777,LEC
6,210.91689689608714,239.5585453014255,HUL
7,140.14783158119957,132.29533586455028,LEC
8,238.65000668434115,225.86319306666667,LEC
9,279.4822649934248,281.5038229325001,HUL
10,287.3539056,294.43545468571426,HUL
11,148.24600881139688,147.49873475191717,LEC
12,223.2475667186147,210.9351424927536,LEC
13,273.6192716888889,269.44659009021774,LEC
14,277.53815949469055,273.515743762963,LEC
15,100.80482782814815,100.81541305505682,HUL
16,222.54242608484847,209.48736317922078,LEC
17,275.02708406666665,265.0951162190274,LEC
18,294.37498058338736,298.4624991390476,HUL
19,304.96797629968256,314.86666624000003,HUL
20,308.89296305777776,324.3988092952381,HUL
21,295.28474912239767,294.28249775686277,LEC
22,159.8004755047619,146.73611128888888,LEC
23,236.05348180489904,226.55682568002828,LEC
24,276.5102165984912,281.24603066920633,HUL
25,286.0,293.6638890666667,HUL
