Minisector,PER,HUL,Fastest
0,230.62046782495003,228.78745317325107,PER
1,283.0313329913834,278.73279904022075,PER
2,299.3041159162772,294.06785846219077,PER
3,306.61304782803165,303.1010629688766,PER
4,275.1183394041562,269.0645189271183,PER
5,164.94318482799517,163.51382574361293,PER
6,259.5292810053604,257.28674744088653,PER
7,279.4973365715933,278.6141305507246,PER
8,210.99143421959963,216.63361867785076,HUL
9,216.7620920248461,214.67489031904265,PER
10,183.64452419666583,187.4683353676185,HUL
11,225.4962340275169,216.57219720084552,PER
12,200.16148304388827,206.7742167671192,HUL
13,211.4110833760981,214.67197293445872,HUL
14,220.21004292562708,214.0232201648571,PER
15,176.74047250453918,180.1913013343991,HUL
16,242.64876311882898,240.95118351427416,PER
17,286.4804657853765,281.8071233444861,PER
18,299.9411990772853,298.8092119943631,PER
19,287.53987576302336,300.92440492698415,HUL
20,131.37053733096536,131.16892325232942,PER
21,168.24703847654152,164.70127181907014,PER
22,149.07319792499595,144.55328863087692,PER
23,205.00157598340684,208.05948737572962,HUL
24,147.156369132613,144.64089419915106,PER
25,178.80832426666666,179.5499989333333,HUL
