Minisector,SAI,MAG,Fastest
0,289.7887316785708,293.588234896478,MAG
1,245.6184971634568,230.59287702857142,SAI
2,130.11966502225917,129.24505104159363,SAI
3,238.46545921325702,233.2403960853108,SAI
4,188.53221871422443,190.42040663989116,MAG
5,251.58824452022836,244.83654516072562,SAI
6,240.16540428342026,232.76974480346155,SAI
7,251.7720232925836,249.5538020305991,SAI
8,280.5749485221978,282.86329353540765,MAG
9,205.53324418222172,212.4962975398315,MAG
10,200.092534887092,201.6763793375599,MAG
11,269.4866069265306,267.6564861709031,SAI
12,207.74006791222308,209.95407466440778,MAG
13,251.82408006876085,240.8252774209524,SAI
14,288.5587712853837,286.35395778200257,SAI
15,302.4702980888889,301.72249845028574,SAI
16,301.73343771555557,300.29055076190474,SAI
17,237.660145884329,236.0246899503056,SAI
18,267.4881232885197,264.1127367376794,SAI
19,293.8115804814815,291.98219361620136,SAI
20,304.9969787885714,305.2705212778175,MAG
21,301.72865522274174,303.3628578352338,MAG
22,157.18959309640633,155.03225337966845,SAI
23,230.97104592946127,227.49610731731622,SAI
24,280.72773634058626,280.25510684414473,SAI
25,,288.6288087071156,MAG
