Minisector,VER,LIN,Fastest
0,243.40965125587303,241.3241015512545,VER
1,139.7420807821131,138.0776010676771,VER
2,280.0404319040353,281.9208749362028,LIN
3,308.8107269164886,319.38113072959646,LIN
4,286.43489622888416,301.3215373545578,LIN
5,315.3098398874074,314.8300941298835,VER
6,321.4435557861696,313.76689722687746,VER
7,313.4829764796537,310.33761155142037,VER
8,198.11539905896467,189.8228493967218,VER
9,192.7685652517203,190.54444255491484,VER
10,178.81326336669588,177.38973557923083,VER
11,169.79031568843098,165.50848432295433,VER
12,240.82504665259887,239.86569246897923,VER
13,258.110362356934,250.4387741413192,VER
14,267.5723391107175,265.6365616378395,VER
15,247.09811303761083,246.13337843706998,VER
16,177.73982889108996,174.02831040144187,VER
17,188.81525902356154,189.01224210428984,LIN
18,234.80864196158268,248.0536961042666,LIN
19,291.40059285314567,299.0305994998779,LIN
20,319.14155053592253,317.14017525672114,VER
21,303.654763658746,293.41980414155773,VER
22,280.2148214728192,275.1392002862093,VER
23,243.9859483534808,252.6378404026702,LIN
24,122.82858746015414,122.31197563274766,VER
