Minisector,VER,COL,Fastest
0,248.34023013986393,241.73241297026524,VER
1,283.17250464295125,279.6548809194374,VER
2,182.7641066721693,191.20297520619312,COL
3,156.23361261827995,165.58169704130108,COL
4,256.7526564520635,254.50800686917185,VER
5,274.185439687928,267.94127362055934,VER
6,240.4368594893754,239.59262147565715,VER
7,207.2345313606391,213.06039281705947,COL
8,159.59836089390177,163.23252651668048,COL
9,218.42201401998827,219.4694363899327,COL
10,271.43554634020205,270.3885118905649,VER
11,126.92057581210351,128.59527011346137,COL
12,212.87314017192764,219.1709465020576,COL
13,274.7097672228571,274.8896215885743,COL
14,297.57848187970274,295.228835978836,VER
15,308.4543703249524,305.5014191919192,VER
16,235.5272049359552,233.36145480420038,VER
17,130.42077472411688,130.12480578254304,VER
18,129.91953338154204,132.33277636833563,COL
19,122.11592984678646,124.27750739604284,COL
20,225.49135364158116,230.56074747474747,COL
21,259.6474605079208,262.75650445906984,COL
22,243.031496761432,233.85508297258298,VER
23,217.81777670853702,216.84889904310634,VER
24,135.18108005615906,138.42987433739316,COL
25,216.88,,VER
