Minisector,SAI,KVY,Fastest
0,306.66245073693267,288.839215372549,SAI
1,324.2275000177778,299.2762644651898,SAI
2,334.3509523809524,302.63776033333335,SAI
3,321.5255204,301.9980387764706,SAI
4,165.44688005648604,172.911761592515,KVY
5,213.05263424785807,218.34426998399746,KVY
6,241.599801476644,243.84189136480182,KVY
7,268.19398157037034,267.46929807719295,SAI
8,260.6014771860098,264.21585217443607,KVY
9,163.55416684731182,167.10417993638237,KVY
10,229.66562543030304,232.5408159782313,KVY
11,133.41141132040894,135.96537977419524,KVY
12,224.50153294292042,216.51318320302,SAI
13,190.37713995235026,198.07566801066667,KVY
14,215.7799317247736,213.76111066666667,SAI
15,246.73198474833976,249.09604154666667,KVY
16,262.3581021714286,259.99208329076095,SAI
17,284.5333565175825,283.73605526088784,SAI
18,132.07254187502625,139.33871292323576,KVY
19,158.91300768814438,158.9583923911111,KVY
20,145.35644034517293,144.74094419385756,SAI
21,166.40436518603173,171.27214167480668,KVY
22,116.609551239519,118.86540564897959,KVY
23,228.5533342907769,223.30282336937432,SAI
24,269.9751079665177,266.4096494035088,SAI
25,,281.37142857142857,KVY
