Minisector,STR,PIA,Fastest
0,298.90601181797973,300.41137398382165,PIA
1,185.16196793536182,193.0713095675075,PIA
2,221.69102868235362,223.83570211652383,PIA
3,274.9773134855844,273.15057069376985,STR
4,235.44668950684357,224.50171313476412,STR
5,123.89072150871749,128.6159520601709,PIA
6,201.86427935534397,209.51844385999135,PIA
7,230.66337464419487,250.05775767077267,PIA
8,218.26081358189364,242.2981186231783,PIA
9,225.0870243401819,226.08219011755776,PIA
10,269.6543801471605,273.5766013418355,PIA
11,288.7600336812706,288.8755050356123,PIA
12,300.3475094693018,294.53949327389154,STR
13,318.38115098062104,297.1891841569535,STR
14,324.44678571428574,297.21943236942474,STR
15,222.687659938411,251.12493314797666,PIA
16,233.17055403514388,233.40328693264019,PIA
17,280.5061481080059,272.4901378446116,STR
18,293.05795987491996,286.2470517444739,STR
19,137.94111992770806,162.31981030772664,PIA
20,181.80331496927369,209.07346411305483,PIA
21,168.7222799829043,182.07557353587515,PIA
22,134.09190581856416,126.277183588692,STR
23,230.13470439856562,235.6278497557387,PIA
24,280.93652243242855,281.5139909779997,PIA
25,296.13804299130436,295.3499998476191,STR
