Minisector,PIA,ALO,Fastest
0,280.4419327417787,283.2645293166843,ALO
1,124.64506921535235,118.64997408963038,PIA
2,167.0414499046425,164.27492158901535,PIA
3,211.62049671736494,206.14805473773785,PIA
4,170.01615076405537,170.5669325467626,ALO
5,243.2307273709091,243.80417111238094,ALO
6,227.63135581875903,189.4771826772294,PIA
7,134.0354294105884,141.4365550248747,ALO
8,232.88516225871345,241.18853952749063,ALO
9,285.02199761608466,278.8687838442328,PIA
10,295.2578152251893,272.87640224996875,PIA
11,154.05072631266768,152.63420969365802,PIA
12,225.63490629775248,230.56907229465827,ALO
13,271.18502838812617,272.46986914555555,ALO
14,258.4838387737143,244.78105368446708,PIA
15,100.41898412597871,101.3274229639463,ALO
16,219.54855130590545,220.87769480175612,ALO
17,281.1316965561905,275.44904735434017,PIA
18,303.459851147619,304.4023995104643,ALO
19,319.7932158094515,318.14578329456134,PIA
20,325.46010042380954,324.0397645202721,PIA
21,280.2669423077694,248.85964385162907,PIA
22,152.6478985535719,153.66459659878743,ALO
23,240.86371588969425,244.67309847072227,ALO
24,289.1569993539589,284.49449074422955,PIA
25,299.8571428571429,,PIA
