Minisector,VER,STR,Fastest
0,242.67975599377584,243.3331433482664,STR
1,275.53419822282694,279.7712411885714,STR
2,178.34496132763513,169.76461784760573,VER
3,152.03076328489794,153.67878454953296,STR
4,253.38389369309425,257.146890305641,STR
5,266.0746402092929,259.4244104496722,VER
6,232.54493547368622,219.89156599741378,VER
7,205.70967232373204,201.83792328886523,VER
8,157.30343021946928,155.0096396830784,VER
9,220.23253569100925,217.46919529244184,VER
10,266.1027089215133,274.9633801662628,STR
11,121.39209027349618,115.849554169496,VER
12,197.64080515514777,214.92938009411344,STR
13,265.6917857142857,276.30507464177765,STR
14,288.77788590453457,303.2406318115797,STR
15,295.89468252352094,314.8403934222222,STR
16,240.4190502784774,231.91303994934447,VER
17,130.26839334865673,132.1200371596272,STR
18,134.74819794070854,134.05496648286655,VER
19,122.27950635432086,120.63943913271376,VER
20,219.1956714907234,229.4652571583095,STR
21,254.7610052910053,255.90040033241462,STR
22,236.21391168537525,222.22296610064885,VER
23,213.12551020408162,198.09977663532217,VER
24,135.38008199766617,135.57165574075532,STR
