Minisector,HAD,COL,Fastest
0,315.8428526520357,312.4046229783252,HAD
1,328.39439176388913,328.74227440852485,COL
2,333.110837301286,332.6301767756708,HAD
3,309.4855260927721,302.0646193366667,HAD
4,156.84439687314566,149.69621185104663,HAD
5,191.91167674949065,191.521157832815,HAD
6,220.44475462119908,205.12986501381428,HAD
7,261.9279763266943,252.74936127681667,HAD
8,247.73586690583505,228.39330774030879,HAD
9,153.27403672934832,145.02615174217965,HAD
10,215.6158019823045,203.60841924295067,HAD
11,126.49457470929651,115.16717455682091,HAD
12,226.6456357282493,233.31134442870797,COL
13,168.4781016125882,187.51795176190382,COL
14,210.9337597503898,195.77348909991463,HAD
15,222.528046738407,213.64779819291286,HAD
16,261.64747292414785,244.520676692679,HAD
17,296.66386922139077,286.40291650855806,HAD
18,138.57706492276856,147.55487369196996,COL
19,153.84396455756078,147.58320974746448,HAD
20,128.82910567314093,130.2596298372026,COL
21,222.15130957659252,213.855911097736,HAD
22,250.0641308901885,244.8609802943406,HAD
23,232.42810510647539,226.44799595248662,HAD
24,281.74083360255776,273.1145760259824,HAD
25,307.3112043993724,300.140626,HAD
