Minisector,VER,NOR,Fastest
0,290.31069288018887,291.83077241021596,NOR
1,299.86979173333333,303.08261266766914,NOR
2,302.77361114074074,309.3583958536341,NOR
3,290.418319648128,300.1413963015139,NOR
4,169.18884743529412,165.48738456296297,VER
5,213.75527796187913,210.85850204507412,VER
6,236.77428108571428,234.74349926399998,VER
7,264.3414927439844,267.13294835459226,NOR
8,251.0856788858497,244.17327430062113,VER
9,167.38502137551873,164.3208511273634,VER
10,226.9818852251062,229.50588210590476,NOR
11,138.44677172081532,134.06960078198617,VER
12,228.60716733866667,231.51165502857143,NOR
13,198.09186935592354,180.75264918853026,VER
14,215.8737665185185,220.57499864615386,NOR
15,235.61294023857388,245.89726679992862,NOR
16,259.358323543688,265.85694384761905,NOR
17,279.6847222349206,289.4965100133333,NOR
18,130.17932136581254,122.54685686691698,VER
19,164.0348945507796,163.4975170996932,VER
20,150.6002849367125,149.44884008822055,VER
21,165.36862191168746,152.25332519540905,VER
22,118.49740470153156,116.53711700068573,VER
23,228.8026197942857,233.39216569295237,NOR
24,269.31178340460474,279.55550512308866,NOR
