Minisector,LEC,OCO,Fastest
0,316.6199274931677,319.8594200115942,OCO
1,324.28586132491654,330.42916673939396,OCO
2,327.59473043953636,329.2113636363636,OCO
3,202.0943681114236,199.13898224943637,LEC
4,116.84228403346755,115.88978066158964,LEC
5,262.9141406853861,262.37175841975306,LEC
6,297.4846160932362,299.99497405577495,OCO
7,314.25652718493967,315.0286232115942,OCO
8,287.7089802463311,274.19345001306544,LEC
9,140.6321365865624,138.52487225464284,LEC
10,219.2880151358097,215.5992642917376,LEC
11,210.6598103489434,207.08094322335552,LEC
12,192.40156220446946,185.1468944970591,LEC
13,264.62647991936643,264.93803891491484,OCO
14,301.32839006873706,303.9381941333333,OCO
15,318.70975440629076,319.82771742608696,OCO
16,258.9331778068751,255.49444349703634,LEC
17,198.3632415304536,198.9458986337733,OCO
18,267.8823243504754,266.32756530434835,LEC
19,302.42246344347825,306.5139223579679,OCO
20,317.9900999978109,322.87264486956525,OCO
21,304.8368069333333,305.47309142222224,OCO
22,199.95769989564192,197.71706041512232,LEC
23,258.75401157530865,261.2934517333333,OCO
24,299.8110618557082,301.84045244077055,OCO
