Minisector,STR,MAG,Fastest
0,272.79639078717065,273.0316488378117,MAG
1,289.8743735017544,289.1298406117647,STR
2,296.2050928,292.5232462917293,STR
3,129.83574195017786,128.09007512957027,STR
4,207.2014762553792,202.0323403005291,STR
5,258.7370720077563,256.63705016531844,STR
6,144.35855789778455,143.15620974517375,STR
7,214.53731077159614,207.31330189212935,STR
8,263.76919622857145,261.3781742730159,STR
9,281.10407255739347,279.88167100380986,STR
10,251.59120436464315,233.6352433432404,STR
11,187.18347801116585,184.07474301968253,STR
12,197.3445981925926,194.16292212891764,STR
13,143.01228321629506,145.41497751602532,MAG
14,188.32982231111112,180.83588013628562,STR
15,167.49045745,166.0890532011693,STR
16,227.62704439917184,217.4877584563147,STR
17,237.26250045879917,238.80169771324623,MAG
18,241.86440219679645,236.10696813932356,STR
19,231.95181328695654,235.62916795555554,MAG
20,147.07107661128148,142.67994994945062,STR
21,136.97363664616609,135.95075961970298,STR
22,177.41100455151704,170.77709272380955,STR
23,152.54227846771943,151.17135730587296,STR
24,232.08253074285716,226.90572831111112,STR
25,259.75,260.35833279999997,MAG
