Minisector,PIA,LEC,Fastest
0,299.2296970354545,296.78359090423544,PIA
1,305.6160056532383,305.5,PIA
2,308.62339573048126,309.2615351747368,LEC
3,302.19914682539684,292.4107121329064,PIA
4,172.91500081574605,173.34286279717105,LEC
5,215.51718338686817,212.45645479505933,PIA
6,245.51820669018633,241.44138905396827,PIA
7,271.15977745775325,269.90242360541356,PIA
8,261.3758834527442,259.2615755448626,PIA
9,169.49386663449354,157.84622708854423,PIA
10,224.8332769341082,223.39083744876817,PIA
11,135.00481511698095,126.49169973855248,PIA
12,232.85445702216177,228.65396862666668,PIA
13,181.08650312622333,177.42587709819912,PIA
14,221.57684891927275,213.9568379153623,PIA
15,249.26826578434898,244.90876841876047,PIA
16,270.74850894857144,268.1406609305008,PIA
17,288.419704892506,291.3787482833333,LEC
18,157.9105687597279,154.62399461632498,PIA
19,179.11075612164257,160.1254433468875,PIA
20,143.52062682617853,140.21833796508713,PIA
21,236.037381277308,229.0368913673096,PIA
22,267.7938158135338,263.85223282910107,PIA
23,258.0944134433417,252.85200891208447,PIA
24,279.9615820746572,278.3283217817134,PIA
25,,289.8875008,LEC
