Minisector,RIC,NOR,Fastest
0,312.24769650516885,331.88386811108234,NOR
1,227.99111393733511,230.72164564636998,NOR
2,139.99060014146605,137.14870149881352,RIC
3,225.35415434909137,225.14940669219067,RIC
4,263.7891964509455,267.30673437334,NOR
5,288.42916613333335,292.9789838546845,NOR
6,305.17983521493153,303.86624121441713,RIC
7,264.7485249115767,267.3965826091903,NOR
8,174.7436793250928,170.57173424887793,RIC
9,244.976638440051,246.13710741016257,NOR
10,275.1665915707171,274.5975161168952,RIC
11,256.7547177275071,254.5310268007304,RIC
12,202.80995516634582,211.24944962687252,NOR
13,127.82095686020484,129.25006638325848,NOR
14,128.73363306580583,126.50621692482962,RIC
15,164.49534611623523,158.1585185847508,RIC
16,129.74863619186064,134.03155920583617,NOR
17,227.22567366425474,238.96646210829573,NOR
18,181.5198395378797,172.46318435916902,RIC
19,169.39851959909734,176.91190463448305,NOR
20,250.82679322411968,253.39520784980516,NOR
21,277.6026940572373,279.7593228645687,NOR
22,293.31852405587057,297.88704163816243,NOR
23,303.2313120604466,308.4361913735432,NOR
24,309.26559679912873,313.93333333333334,NOR
25,311.0,,RIC
