Minisector,MAG,BOT,Fastest
0,314.8097686583235,297.0748188289855,MAG
1,253.5461676488,252.0379326978751,MAG
2,196.08981203610549,197.75781442457756,BOT
3,264.46833531333726,266.3705698751781,BOT
4,227.72543174658458,233.07440533333332,BOT
5,116.34451877573511,122.81702406967906,BOT
6,175.96791769099687,180.23884664685716,BOT
7,257.13010551286317,258.1358692173913,BOT
8,288.08582360883776,294.35939795068316,BOT
9,301.16191406011524,309.8762500266667,BOT
10,306.47280335731085,313.9480342176031,BOT
11,227.686688292233,246.49246793846154,BOT
12,143.10586081220546,143.32279822549052,BOT
13,255.93513958606235,257.83937712942185,BOT
14,287.587905634632,295.5820394909678,BOT
15,288.768269827932,306.9775,BOT
16,286.28095444621607,301.26749989333337,BOT
17,262.24270855899834,270.24791666666664,BOT
18,184.15287579117137,183.14308529911153,MAG
19,188.8230757187002,199.9509257571266,BOT
20,181.25527785366558,173.69047438358734,MAG
21,250.73534513049347,250.40529772457717,MAG
22,126.77819297343622,131.37596183530445,BOT
23,201.25719070692412,184.84720544702196,MAG
24,275.26394586851404,276.1378625391304,BOT
25,289.47499946666665,295.32500053333337,BOT
