Minisector,LEC,BOT,Fastest
0,324.0299603809524,319.7487155729323,LEC
1,331.98161240684544,327.2125,LEC
2,331.5491227508772,323.8370699936508,LEC
3,174.86743512595456,165.06092628074697,LEC
4,133.56381961010473,141.5440694235158,BOT
5,273.11866254760014,271.47310970289703,LEC
6,305.60666337952034,302.02810759164976,LEC
7,317.9818750933333,315.2281250666666,LEC
8,261.7862830052833,244.7027331999305,LEC
9,155.19614647999998,157.20277142618048,BOT
10,221.1912122820781,224.86050862983322,BOT
11,229.84547634402244,231.36768345764932,BOT
12,199.18307398889593,209.8972743977811,BOT
13,279.30893783188407,279.19873238260874,LEC
14,313.31337734736843,310.0471175136869,LEC
15,326.2246173536868,316.4477082133333,LEC
16,249.94733201066666,251.92766574933333,BOT
17,213.453779566808,218.64309541750688,BOT
18,278.4569810562771,278.7732922898551,BOT
19,313.2556231763636,309.1948410790521,LEC
20,328.3002844723239,321.7124060551379,LEC
21,297.49345127619046,302.99610403472843,BOT
22,210.00829191254215,218.89604601360543,BOT
23,274.48162923636363,273.5589885866329,LEC
24,309.99288229469477,306.2400794920635,LEC
