Minisector,BOT,STR,Fastest
0,288.13192754157564,296.19753756536795,STR
1,304.07687498666667,325.1934704108339,STR
2,299.73269465874426,312.92392335238094,STR
3,191.88316115669244,176.12803502337545,BOT
4,229.63937714871795,213.14911825437704,BOT
5,214.97499328779276,199.34627887126774,BOT
6,199.2441629984639,189.04345567160206,BOT
7,224.23439076751444,210.77009531955363,BOT
8,257.8135166984127,253.56907024388948,BOT
9,261.7654235986127,252.98620008106667,BOT
10,183.11416100707632,169.85682375718457,BOT
11,244.89167801555072,239.03658355200002,BOT
12,123.11551981601697,119.27191381728396,BOT
13,230.83262873191913,226.92589471734624,BOT
14,271.0852182663038,272.9,STR
15,278.9130435060869,281.8321988598082,STR
16,216.15018019074668,204.47834133824887,BOT
17,200.37307044632618,184.70179630035054,BOT
18,273.4976095688989,268.2359985981726,BOT
19,294.8672889004329,295.5232564712494,STR
20,304.69949403428575,308.0348809295238,STR
21,304.01270837333334,307.3992255513921,STR
22,251.63309525942856,244.611000064,BOT
23,122.74989307123809,119.91407715602914,BOT
24,248.83412266201094,245.83529628444606,BOT
25,275.90000274285717,,BOT
