Minisector,NOR,LEC,Fastest
0,276.3124550101325,281.55954074525573,LEC
1,302.33117917090914,304.2649679722449,LEC
2,315.4722112902564,318.54993704067226,LEC
3,321.60854340840336,325.4810732250245,LEC
4,324.11314100512817,329.5099064642177,LEC
5,326.5917658920635,331.97972222019047,LEC
6,208.54504769876894,205.01389865805922,NOR
7,109.38004027250123,112.22046266736865,LEC
8,190.1771516415563,198.35376583825993,LEC
9,264.2926758844919,268.66675553197865,LEC
10,290.288138690709,296.5932647744402,LEC
11,176.13006825324263,174.73820919510203,NOR
12,94.69428265705216,94.9528056353473,LEC
13,109.86987092104613,120.7926652364094,LEC
14,222.78254087341992,229.30837162181817,LEC
15,199.647706446753,195.77773911127815,NOR
16,232.1996385518679,238.59548634745826,LEC
17,191.13551153231583,187.26414896177798,NOR
18,242.5053030884726,240.33326348613758,NOR
19,278.44186871,281.31160363802053,LEC
20,252.72576887667526,267.0799827444976,LEC
21,151.76635421688889,155.82721836507935,LEC
22,100.39274798820448,98.31861175764769,NOR
23,126.52178707407336,127.33842872476167,LEC
24,221.02920803628118,225.46626193206347,LEC
25,258.1999957333333,260.3583333925926,LEC
