Minisector,PIA,LEC,Fastest
0,254.29622818945623,252.1915607127006,PIA
1,225.0775561304712,223.14300846522283,PIA
2,212.20310397340268,205.85257287390598,PIA
3,256.42562528,259.71228558130366,LEC
4,270.3528600131991,275.52915802769627,LEC
5,289.1566381248603,288.8875160418104,PIA
6,147.49341168789667,166.77250925963483,LEC
7,190.00789214926294,182.95737493084158,PIA
8,270.5341927941243,268.45979086012807,PIA
9,296.5247877359447,295.2109163503651,PIA
10,306.3394018714408,306.74138901333333,LEC
11,304.8788851073231,307.4704743470329,LEC
12,114.00732613483753,114.59035205013073,LEC
13,192.4948341672295,187.36008182414687,PIA
14,271.38634263404015,265.92254989035774,PIA
15,292.8924382465587,293.3693158157761,LEC
16,296.4172633953185,298.20980022088094,LEC
17,189.3211013158048,194.20587834312963,LEC
18,225.13428552059395,218.6293906675413,PIA
19,273.2269162585864,268.224538182861,PIA
20,157.75120904189887,156.33472510206363,PIA
21,148.35714812408065,149.5756103638662,LEC
22,228.82089761850656,217.88976959619288,PIA
23,242.93217918456415,240.09740788914198,PIA
24,160.00926006206598,159.37630749692144,PIA
25,225.9,225.14285531428573,PIA
