Minisector,RAI,OCO,Fastest
0,277.2045580603281,273.82252258250116,RAI
1,294.53183153470513,294.725626710492,OCO
2,294.36285331833363,286.6813761616162,RAI
3,179.71183566920502,167.82211201215273,RAI
4,119.94189448073466,114.01979299140929,RAI
5,238.8963273119702,235.68430816774514,RAI
6,283.7657671776743,282.12078451630055,RAI
7,297.8082211962497,291.21306763636363,RAI
8,169.57514548249972,165.03310051379492,RAI
9,136.97699393821088,133.75497465490588,RAI
10,252.70012104738007,248.94660372348335,RAI
11,289.3753323577253,285.61686910020046,RAI
12,302.1140916201771,292.02129670877355,RAI
13,283.65123246304887,268.2049595125599,RAI
14,302.1896693987062,296.4983305906914,RAI
15,305.7066790202212,299.20025446982754,RAI
16,252.36918202888305,237.70141947009654,RAI
17,218.3110356800671,214.0773172556122,RAI
18,282.9621309333183,276.6057610554894,RAI
19,311.16469048399887,303.0549123568451,RAI
20,319.3042039458825,307.69276791033394,RAI
21,232.50989237901604,214.99237421543458,RAI
22,262.22683597547604,249.98132150191574,RAI
23,139.16612976642836,132.43603486362883,RAI
24,209.39129031197567,208.294943405032,RAI
25,256.7666645333333,253.3624992,RAI
