Minisector,RUS,LEC,Fastest
0,303.8335151542857,290.38985291919187,RUS
1,316.77754913114285,302.75160112395065,RUS
2,321.4891433533336,303.6380112984066,RUS
3,186.709401734428,181.60749180681375,RUS
4,206.1893562176086,209.9799468066242,LEC
5,202.48684332416155,201.32449359632184,RUS
6,258.9922966384689,263.35913950125575,LEC
7,253.5184609886484,255.8281589383023,LEC
8,201.94164266710453,205.01636735449947,LEC
9,205.80138885079364,200.4650039223067,RUS
10,145.10504222558558,142.41061100954045,RUS
11,201.78599724263051,195.02199362026266,RUS
12,184.1574851504303,184.52969860715712,LEC
13,245.01204832741703,251.62906662156192,LEC
14,176.88658893930796,169.43732276781859,RUS
15,229.19492844761905,236.13232562547012,LEC
16,269.5198394964858,277.2136476081633,LEC
17,272.05317233939394,287.771840533921,LEC
18,261.16995984839537,274.470131688421,LEC
19,247.24563761433933,259.9888650941863,LEC
20,249.78977272727272,258.46068798758375,LEC
21,252.37188528139555,261.9315431329293,LEC
22,218.6081945342382,212.07715218450377,RUS
23,199.464049357817,201.72764989056424,LEC
24,265.27017620070075,269.1867078107425,LEC
