Minisector,GAS,ALB,Fastest
0,293.01091297076607,305.24471747497927,ALB
1,303.0576755087719,321.351638786358,ALB
2,287.93030038120156,297.19831534475304,ALB
3,114.05099342065925,105.41442728412036,GAS
4,228.67745593945213,225.6784976263282,GAS
5,265.106759865202,281.2609733320941,ALB
6,202.95651849496838,214.95192659940773,ALB
7,165.5198981910765,157.548656548246,GAS
8,193.69369503471182,191.05087358798124,GAS
9,205.25667614581175,203.0081310284892,GAS
10,116.65857146531661,108.64352495954253,GAS
11,230.77096191976852,222.72851918810034,GAS
12,115.75550604445729,116.7902177558138,ALB
13,224.3428724798914,218.32330812678364,GAS
14,271.4724071649318,270.25319973082003,GAS
15,220.75898859588833,216.86564598381895,GAS
16,193.65585746748957,192.09586347586236,GAS
17,247.32826652897805,248.08894054127538,ALB
18,204.83685090100218,207.35782164871813,ALB
19,179.67441698377107,180.44736781382403,ALB
20,266.85788185854324,266.85477202309573,GAS
21,295.16648717809863,294.0344491411086,GAS
22,168.94643359670465,164.16688960284114,GAS
23,207.81231567428364,203.4485602136176,GAS
24,272.7706035079645,268.87623180018363,GAS
25,,284.1250005333333,ALB
