Minisector,HUL,PER,Fastest
0,298.9879998933333,299.325500916934,PER
1,306.1179087557168,307.54608637291005,PER
2,155.20041821165384,159.44595715974722,PER
3,220.15622108645675,216.95819240911976,HUL
4,271.63987372997195,276.55997745357575,PER
5,292.46357755981575,304.1923452441121,PER
6,294.89259691838953,312.48889003636367,PER
7,173.97231337583068,145.9506274058047,HUL
8,121.91742381714286,123.56758163057607,PER
9,250.0929606781355,252.13819983102798,PER
10,285.22729575502245,296.75253752142856,PER
11,294.17088886044445,308.1079892590476,PER
12,139.79375838671297,128.4610786466251,HUL
13,189.42413661904763,186.0629851753394,HUL
14,253.708835978836,249.0671318110476,HUL
15,190.66267355300127,195.03792931272812,PER
16,205.71966075154324,208.9577622663609,PER
17,196.2275372857143,206.33040330401465,PER
18,233.8479390939337,242.0316661587318,PER
19,273.61065476190475,277.76743278814814,PER
20,291.29334713405154,291.28186271372545,HUL
21,252.03508130901153,256.4058289248887,PER
22,214.9848465001607,214.54619949272316,HUL
23,202.3079021932259,203.20352886114574,PER
24,263.39024902577495,261.8210035564021,HUL
