Minisector,PIA,GAS,Fastest
0,291.0554977658095,290.2564982412954,PIA
1,301.9233823018488,300.5311358138349,PIA
2,303.2390176005409,295.48003282337,PIA
3,193.48065947193334,190.2243417346263,PIA
4,210.3424484868214,209.33516506024026,PIA
5,202.89470825031694,203.07252321966226,GAS
6,262.56657869172903,263.61587202255646,GAS
7,255.28955131097308,258.53737653024154,GAS
8,213.4695762100618,211.26129785363287,PIA
9,210.75627022058373,211.65673651296456,GAS
10,140.75313830086628,144.63500823968468,GAS
11,200.89679340495348,205.21696743833107,GAS
12,188.4290447884283,187.32084694326716,PIA
13,252.05906370811508,253.07187452623322,GAS
14,185.49942644063492,181.45930433786535,PIA
15,231.4871043339269,231.39620934714557,PIA
16,279.7119981329705,279.4720244792381,PIA
17,290.767638281946,285.41227277035347,PIA
18,285.63933506408716,275.8838807768819,PIA
19,273.4462897287247,265.46117455085715,PIA
20,265.82625424159164,259.57806099255413,PIA
21,264.88941810427934,259.59451868400276,PIA
22,231.14001794288512,235.89800020305756,GAS
23,207.63863368932104,207.79136376377093,GAS
24,266.9888140300164,267.15647068935834,GAS
25,281.0,281.94499968,GAS
