Minisector,ALO,STR,Fastest
0,250.07524804883704,248.2702349975593,ALO
1,215.79472929807292,212.36183687958976,ALO
2,205.49907538139107,209.89807395685784,STR
3,260.3254386767148,258.10324865811714,ALO
4,274.4084656572618,271.6930417941043,ALO
5,289.9088754061396,288.3967467344855,ALO
6,158.666559068585,172.5563503851349,STR
7,182.88894888061932,158.21851749060446,ALO
8,266.6307587885714,265.92823402523845,ALO
9,293.185985852919,305.10421008504204,STR
10,304.89024152582795,322.9470612974316,STR
11,302.0160656958543,324.66999999999996,STR
12,105.56253709619646,117.84351912754676,STR
13,182.7191637123121,179.97475655265583,ALO
14,266.38650942716504,274.08623699854695,STR
15,291.7178994329258,311.6887103130942,STR
16,296.82710974858435,319.2488905437788,STR
17,188.7264618832462,191.55600837191648,STR
18,222.09175023039572,217.16227368310945,ALO
19,268.3477383938578,261.9360736023428,ALO
20,148.8760401848277,155.0547339824876,STR
21,142.30784216098246,139.4646735816666,ALO
22,215.03132802983149,207.4777623283954,ALO
23,229.75054732578093,238.34168417938292,STR
24,161.33576632104118,151.12615742787779,ALO
25,,220.4465306666667,STR
