Minisector,RUS,HUL,Fastest
0,251.31156693565808,254.53630235667583,HUL
1,218.2837950171051,209.12735745952702,RUS
2,203.64632802930674,204.22479793323024,HUL
3,260.1322436695162,260.42943606530616,HUL
4,272.36417376693595,269.09713084803593,RUS
5,291.5868900840671,292.263639729432,HUL
6,151.09215821925645,158.60227254478403,HUL
7,175.74085309739124,179.8899258877787,HUL
8,269.38664577386743,270.9505794387145,HUL
9,298.70094245300214,306.90467868872184,HUL
10,309.73245517493564,324.48632285819065,HUL
11,312.9662168503486,326.6347294345999,HUL
12,111.59443699429598,116.55330510861909,HUL
13,187.00857438994305,186.56042528654086,RUS
14,270.64926727392424,269.60729380894384,RUS
15,296.1614656620094,295.6064937090159,RUS
16,300.76283031816575,305.39084567141884,HUL
17,183.24096546115985,188.37868816650078,HUL
18,211.84832102246585,220.43980848466373,HUL
19,263.8664231106347,267.6970780777058,HUL
20,153.8188721010518,154.38247417487742,HUL
21,138.72211358804574,147.6242595107491,HUL
22,210.83786038620667,220.0014215134955,HUL
23,227.73044330012763,246.21406633418985,HUL
24,161.22089429416553,155.71002032144585,RUS
25,222.5,221.71530424832554,RUS
