Minisector,HAM,RUS,Fastest
0,276.3909032118518,275.7096921859364,HAM
1,297.48290575099566,298.06579888126987,RUS
2,296.5101415951515,300.5280451753383,RUS
3,180.79830157415498,186.6509122446011,RUS
4,119.39754545739443,115.04919989263931,HAM
5,237.6243902558071,236.68248022957582,HAM
6,281.7262758185783,281.3879045984107,HAM
7,295.49633431430954,299.4745823893333,RUS
8,171.4916741899738,174.75886725916519,RUS
9,137.85307243856028,137.27188045651215,HAM
10,251.5036367120434,250.56063661741535,HAM
11,288.73922939863945,289.62990479602485,RUS
12,297.6745187783637,300.8504937773646,RUS
13,281.01081813898014,282.3959618126407,RUS
14,301.369152314386,305.6457487176289,RUS
15,308.7990226453389,314.12309270690906,RUS
16,252.69114509777776,241.13430489069827,HAM
17,223.73409789872855,222.51875842666666,HAM
18,281.0911569508652,277.623495310358,HAM
19,305.48315452810965,305.8111164602597,RUS
20,311.93712438566894,315.3018547784127,RUS
21,244.38734214881126,230.05814493753604,HAM
22,264.70199333948716,259.73192513493024,HAM
23,139.87345405114914,132.0838188703215,HAM
24,216.98672669242376,209.20077243505187,HAM
