Minisector,LEC,KVY,Fastest
0,295.2349758139858,290.9664500516914,LEC
1,202.10764085795222,193.1788251836727,LEC
2,228.77390767266456,227.68809272477392,LEC
3,276.1194706966263,272.76544071406926,LEC
4,243.07551361328677,227.6742561051396,LEC
5,125.91072440038141,123.30442220770344,LEC
6,208.40101092241028,214.3782891100382,KVY
7,258.396921409573,257.6379394013418,LEC
8,210.04879670380913,199.38497370377848,LEC
9,209.550523409122,210.56104548999156,KVY
10,267.98456512448007,263.3607372653868,LEC
11,211.22789360113123,198.36127884302357,LEC
12,176.25726337110865,186.96681825496225,KVY
13,262.45254098753054,262.233715983203,LEC
14,281.4165457955268,280.3086174810666,LEC
15,254.9897580163798,258.103649777643,KVY
16,238.7824829111365,244.63285993649123,KVY
17,271.6266030829787,274.2280380006691,KVY
18,284.7560909411382,286.7881218721715,KVY
19,180.32284073287843,175.7720442809105,LEC
20,212.4124651693499,210.3094984439932,LEC
21,179.08082061388777,156.82488686748394,LEC
22,141.49072188691954,151.16102186167566,KVY
23,239.98636635000616,244.89951171044757,KVY
24,282.38924623370133,283.4911595299919,KVY
