Minisector,HAM,HUL,Fastest
0,304.1606330743936,312.2021973267034,HUL
1,146.28869769605777,142.1566376529995,HAM
2,212.72294173175612,210.41973281333796,HAM
3,276.9847508384416,272.1125388876951,HAM
4,313.5411788098927,310.4415051435585,HAM
5,323.8099100612615,313.1250596417849,HAM
6,148.67236482190708,146.99441725897748,HAM
7,247.2873942708265,245.0300068474341,HAM
8,126.93754926055152,117.59560338467547,HAM
9,143.84973257448067,137.80234605820198,HAM
10,268.03624781103423,267.47781009564426,HAM
11,297.7002742209524,297.1384520817316,HAM
12,253.49164271827235,269.16888744902,HUL
13,153.2459350904423,147.07929873687746,HAM
14,266.944806070876,270.1849535611245,HUL
15,305.9411815478324,304.08142972718036,HAM
16,322.60017941243757,320.30749520647504,HAM
17,332.25564924081635,327.9540992145125,HAM
18,337.35459380000003,334.07888371238096,HAM
19,336.7910739117255,332.567289304127,HAM
20,226.62892702164814,231.14250440704183,HUL
21,151.03955060381142,151.26351142624566,HUL
22,272.61443117180323,270.7968112023257,HAM
23,309.85940537627704,307.8881448444444,HAM
24,324.7323351089324,322.8000803690269,HAM
25,321.4124992,321.97343739999997,HUL
