Minisector,ALO,RIC,Fastest
0,314.99237633949963,308.76388402565874,ALO
1,321.7985291921569,320.19249346031745,ALO
2,319.5943123386244,320.4293981037037,RIC
3,232.5354461591084,224.33714862050726,ALO
4,232.69626212571427,226.5424672820513,ALO
5,114.76774099965452,113.43874019229087,ALO
6,214.36000916095247,218.81295764467,RIC
7,266.83406740194744,271.7755952111965,RIC
8,237.89097519999999,228.10117653650806,ALO
9,114.92714588015973,114.56517630581426,ALO
10,232.73698413244932,235.82531256742203,RIC
11,256.4068844521739,250.09433464007085,ALO
12,135.1426853347696,132.93811342311727,ALO
13,211.68017897425045,215.68751996127577,RIC
14,270.68714878730907,268.8057535492063,ALO
15,224.15677887765565,223.37960759203,ALO
16,158.52027007830688,152.77859468868851,ALO
17,242.9295130666667,239.1664288,ALO
18,124.08993291978321,118.91190524557965,ALO
19,142.67052201727742,140.37862934058955,ALO
20,186.61424550537632,187.76157921918588,RIC
21,258.7310649324263,260.2335138782609,RIC
22,275.8363634424243,275.3392483744935,ALO
23,282.69687472,280.106132912976,ALO
24,293.1231247787728,287.05711292952384,ALO
25,298.0,,ALO
