Minisector,HAM,HAD,Fastest
0,297.7797956152749,297.79263271771094,HAD
1,163.96248617642917,160.36217993343635,HAM
2,155.49906231012724,161.5936264774851,HAD
3,229.13838681429846,228.23118728112019,HAM
4,290.05821166655164,285.81825390732695,HAM
5,289.5808297089855,294.42511017744584,HAD
6,146.36123115214002,146.48481336808206,HAD
7,141.44385521803932,133.51286616568098,HAM
8,140.08068920555945,139.83670119572344,HAM
9,192.4245221873036,184.51572355176174,HAM
10,133.5643250683551,135.4934316159758,HAD
11,131.05355391736282,129.7248576416628,HAM
12,173.08958467782276,162.46001478627883,HAM
13,268.8949949311128,265.5894212413135,HAM
14,293.1940345878988,292.5828091894136,HAM
15,155.03921601203396,146.87756867305256,HAM
16,204.2011414609872,211.09531932173806,HAD
17,174.87230801185822,173.4063115019301,HAM
18,271.8812878919171,270.8452569701933,HAM
19,296.41757566564763,295.4067975557433,HAM
20,311.939928458186,310.03063250078907,HAM
21,321.618766496731,318.47027946825176,HAM
22,326.0697402605898,322.2112769885947,HAM
23,329.46081733668683,325.62422461353384,HAM
24,324.4997695783872,321.94538341370315,HAM
25,,316.21338933197944,HAD
