Minisector,NOR,LEC,Fastest
0,289.38251743361633,287.581810932321,NOR
1,308.2280208569632,305.21720411390345,NOR
2,306.89463772748127,305.6606829950938,NOR
3,202.47660522093827,201.8198385583473,NOR
4,234.83296652900688,234.0118638455944,NOR
5,223.29552268701394,224.31319939664425,LEC
6,206.3684201319243,204.74149201634856,NOR
7,231.2007974244898,227.08432976017957,NOR
8,269.8616592206803,265.04933074239773,NOR
9,280.7750992770054,277.2511915423084,NOR
10,175.74740024087237,176.61668690591407,LEC
11,237.23050922683788,237.40009560915985,LEC
12,120.74746247577983,120.13490545871336,NOR
13,226.21182384484848,219.40262456275642,NOR
14,278.9295539796304,278.03097547826087,NOR
15,294.93797063372534,293.924589202963,NOR
16,218.91509913153592,228.77797795624025,LEC
17,187.01020483238415,184.71295184155912,NOR
18,267.54198741750645,266.54880331409595,NOR
19,295.26645361922897,292.5762795323077,NOR
20,306.75714644248194,304.43842784242423,NOR
21,306.5727381739683,306.4235819914099,NOR
22,273.89059448402116,277.7101806719032,LEC
23,118.46576931787276,121.49984137900448,LEC
24,246.0484551628219,246.9486642280385,LEC
25,,273.74166613333335,LEC
