Minisector,BOT,NOR,Fastest
0,233.14811129540712,231.86819968288827,BOT
1,287.7830582961294,279.0918418872688,BOT
2,312.97951368888886,292.14883446349205,BOT
3,323.14715985721557,296.7467391536232,BOT
4,286.0751925679951,264.0022684425028,BOT
5,162.37480746918695,165.62567858604652,NOR
6,257.16987106161827,258.80512174806086,NOR
7,273.7011218051282,273.23141025641024,BOT
8,209.9063353361243,211.87182200702023,NOR
9,216.14982584200072,218.0730972375167,NOR
10,183.22111465956422,180.35035391043436,BOT
11,220.08228722537947,224.58461587631774,NOR
12,200.575857560484,204.92032892121213,NOR
13,206.38988901225272,212.77749851348912,NOR
14,214.58442082055524,222.6118229862233,NOR
15,177.69647636327872,176.1844968968314,BOT
16,243.8509656574441,253.50333746019447,NOR
17,283.9018980636908,298.2987263861932,NOR
18,294.21336810158726,308.4799782649351,NOR
19,280.4352561230769,295.2791982158828,NOR
20,129.31229474851867,133.40126351206533,NOR
21,158.3422618560067,159.78098473973782,NOR
22,151.45363387071936,156.36703145496003,NOR
23,202.78417089821886,202.93734674868574,NOR
24,147.90708929478788,149.11617738308445,NOR
25,185.96250239999998,,BOT
