Minisector,VET,NOR,Fastest
0,280.84761519795467,279.5681953316017,VET
1,153.45723121896523,152.54613802191508,VET
2,128.19443964511908,150.4534657151243,NOR
3,228.00815516956925,221.38346000188002,VET
4,283.28589693558706,278.16344502367957,VET
5,277.7985211916988,278.8895710557902,NOR
6,141.48745138230458,138.1916864134672,VET
7,140.28926836577708,134.11848415036883,VET
8,133.6912352836419,149.0524759236361,NOR
9,178.18398076627352,162.54696020137823,VET
10,113.50973691795014,128.41673000199486,NOR
11,112.28153081206852,124.49162506292852,NOR
12,174.8495554108413,148.04218112156846,VET
13,268.1355162604052,258.5857809942058,VET
14,287.223546705196,282.77128766604613,VET
15,138.48658744115696,146.5303484154736,NOR
16,190.88789433599217,207.72132700286673,NOR
17,177.21666145124334,160.22898980933087,VET
18,271.65659437941923,262.45336312991304,VET
19,294.24001158252145,286.7957906562931,VET
20,308.84789341198086,300.11565229184265,VET
21,317.09673597333335,310.21768450266825,VET
22,320.05974028051946,313.29561594434784,VET
23,322.37415276800004,313.9706228194112,VET
24,318.99436207274505,311.852826554134,VET
25,314.9041664,306.5,VET
