Minisector,NOR,HAM,Fastest
0,278.3171310811947,276.3909032118518,NOR
1,298.4426557386766,297.48290575099566,NOR
2,298.95017011809523,296.5101415951515,NOR
3,183.22936163115133,180.79830157415498,NOR
4,117.82227898695666,119.39754545739443,HAM
5,241.26687300720235,237.6243902558071,NOR
6,282.282444935766,281.7262758185783,NOR
7,294.35608542698566,295.49633431430954,HAM
8,182.48809806211997,172.37873793762384,NOR
9,144.5976882650608,137.9070593257199,NOR
10,251.83451503869713,251.5036367120434,NOR
11,290.0338064202616,288.2090033485714,NOR
12,292.1546655363975,297.75798035944547,HAM
13,265.5021522147,280.5765058841532,HAM
14,297.15977072761905,300.85069469866664,HAM
15,300.2456359903455,309.2963967522598,HAM
16,247.30623170556066,258.6378616904348,HAM
17,226.4068545630226,222.72811711294702,NOR
18,281.9800259318212,280.4343912995409,NOR
19,305.75839021865227,305.03119301683193,NOR
20,309.64676114610404,311.93712438566894,HAM
21,241.10933553228548,244.54542993883894,HAM
22,261.30886973018505,263.29565285479947,HAM
23,132.6981829755002,142.8661938814522,HAM
24,221.10028647854546,211.78026567867917,NOR
25,,259.2500022857143,HAM
