Minisector,SAI,VET,Fastest
0,248.20513572392156,248.110305069899,SAI
1,122.87504881596284,118.50627908399474,SAI
2,205.78836035324673,199.54434523508772,SAI
3,246.79142436569416,247.76632205071414,VET
4,257.75948557206345,248.00692417641025,SAI
5,178.8211110271937,166.3582233153016,SAI
6,143.30059982447972,133.04714935124227,SAI
7,180.56075520241814,175.84100090133333,SAI
8,99.96410281623946,98.25372272874233,SAI
9,73.70771669431117,70.61357591945587,SAI
10,93.74848820142056,97.82215586306306,VET
11,188.36438835428572,192.0770733784632,VET
12,244.51975857884335,248.49275156994707,VET
13,267.2746530466936,271.24230147468313,VET
14,273.5605745964945,262.75618362319875,SAI
15,104.59177569283625,106.61184382632193,VET
16,143.91039394438096,158.81340943652663,VET
17,170.07947654451576,173.807448757191,VET
18,196.10075270775025,193.57015416815648,SAI
19,206.6817204688889,201.27457192296296,SAI
20,133.74839598142526,125.79995414387886,SAI
21,101.49531482877266,107.55227348524816,VET
22,100.63146046945847,95.90252118868511,SAI
23,201.0896152735635,202.0326265567137,VET
24,251.70163443543936,255.74719073394928,VET
25,263.74999893333336,,SAI
