Minisector,LEC,PIA,Fastest
0,302.9067644844942,302.128556670295,LEC
1,239.8169986001867,237.52739036991454,LEC
2,132.78672032734076,126.78739370205129,LEC
3,237.67911572898635,236.30344317988107,LEC
4,195.266560338831,193.67421167389782,LEC
5,245.15857115245822,250.20658609128748,PIA
6,233.9853719460616,234.81753796027883,PIA
7,257.9298322827862,253.90082086095236,LEC
8,293.0804806929381,291.41839935464714,LEC
9,204.0264164982146,206.32433180921836,PIA
10,210.66055894863788,202.35110424477367,LEC
11,276.9426255312842,274.92345687515154,LEC
12,214.30604636607654,218.86932661469734,PIA
13,255.311126984127,256.189768121814,PIA
14,293.3960408584127,292.4089922438539,LEC
15,315.78112193362193,307.37201534406927,LEC
16,324.2403736865801,305.35221360949686,LEC
17,215.94250102951594,207.85528911238097,LEC
18,262.27138598857965,262.0441611052237,LEC
19,293.0420192615385,294.5755988225908,PIA
20,306.75241916836944,309.2434691523666,PIA
21,311.8580246644712,307.8654435031056,LEC
22,157.07716400565457,152.8777719333214,LEC
23,235.27755707541448,233.62241292272964,LEC
24,279.8607446323451,286.12119175005347,PIA
25,287.2499986285714,297.39000064,PIA
