Minisector,RUS,VER,Fastest
0,296.4725212482951,313.2436649632653,VER
1,236.85590155767193,223.7389670067999,RUS
2,135.12382603096057,128.4230684432807,RUS
3,216.22618672620078,217.54224091728824,VER
4,259.17110397327355,262.8839700682508,VER
5,283.4104980711111,288.28489295988453,VER
6,293.1325000147301,304.40800792666664,VER
7,270.9332217697371,264.5515576206017,RUS
8,173.7376395986134,168.06968509386914,RUS
9,234.7334543130326,238.85391736905063,VER
10,265.90986135111115,273.4338726278095,VER
11,257.62443995597886,242.68839738590114,RUS
12,209.00121010250072,199.0748554781447,RUS
13,129.40210085506143,122.12784320942262,RUS
14,123.24537219919824,126.90838403636363,VER
15,159.4290864807895,149.45544734827928,RUS
16,121.46489811782067,131.5090591191742,VER
17,231.86386151762576,227.61838524444443,RUS
18,176.55280945218533,155.37241045378084,RUS
19,163.14512389468564,165.9833625443377,VER
20,244.63542271435622,244.73557369927195,VER
21,269.94262298939725,276.1805674258824,VER
22,283.42169328507936,293.8859718383069,VER
23,291.8290692886003,304.30580372517005,VER
24,295.72209574331026,310.4561223764172,VER
