Minisector,ALB,LEC,Fastest
0,276.20412872093516,276.2683723843736,LEC
1,299.2438947866932,302.46295471169464,LEC
2,295.6812210940741,299.9722673106418,LEC
3,167.13056476466807,182.58698061960473,LEC
4,116.2435125128216,113.60897876617766,ALB
5,237.8247363251542,232.2271242014839,ALB
6,295.76734345456094,293.81876541175177,ALB
7,312.324110385852,311.04265846857146,ALB
8,167.6836929886803,174.71161406687588,LEC
9,136.60785738842623,131.78407074556802,ALB
10,248.31646450864048,245.31034274768766,ALB
11,288.935539429418,287.82916744129716,ALB
12,301.28522403755994,306.4329048685714,LEC
13,273.5208730854603,281.58563904717573,LEC
14,294.3223429472464,294.4310936380952,LEC
15,294.15733974455026,296.8543365252894,LEC
16,245.01247502412699,262.1810752633766,LEC
17,220.93430359282348,221.21064739131637,LEC
18,284.82445768528925,280.6399149845177,ALB
19,317.628368762003,312.86631893333333,ALB
20,323.819408957193,324.2313152199165,LEC
21,216.9157972467664,218.00539265805642,LEC
22,255.3210314685137,252.5626898697897,ALB
23,129.46157138934782,131.02008930311814,LEC
24,207.1082659879972,197.4840314172583,ALB
25,255.63333546666667,252.35681716363638,ALB
