Minisector,VET,SAI,Fastest
0,293.13266808291314,301.3857355842386,SAI
1,291.089841,291.780215980599,SAI
2,160.7366017311014,152.8294882208764,VET
3,228.8946813422748,233.59693007719298,SAI
4,279.0420357873408,286.5847115914877,SAI
5,298.0433857920888,311.2148093673779,SAI
6,300.2122220901587,322.77398090584023,SAI
7,150.16491350677214,134.8512229819915,VET
8,149.23884907119552,157.05315106596308,SAI
9,256.9792532232225,265.3389149010899,SAI
10,289.5372502664214,302.9920616288677,SAI
11,296.8205600824849,306.7860013923213,SAI
12,143.36987468861622,132.46371392615342,VET
13,210.85597954782608,212.51820025275035,SAI
14,263.13362121139954,249.6199329631768,VET
15,201.4363040277124,192.4184266832298,VET
16,230.825080408055,226.07934075129836,VET
17,213.3103786843018,211.87262803283502,VET
18,250.39273411672275,253.0793635662778,SAI
19,279.08752382546066,279.03599670221575,VET
20,294.70278362592757,284.0,VET
21,257.8117448291518,252.9293790643953,VET
22,224.77196682406816,213.41259350303028,VET
23,215.93297898963382,219.05026169081827,SAI
24,270.98669404547314,266.86226558975346,VET
25,285.97014864543013,,VET
