Minisector,VET,LEC,Fastest
0,294.6595756389234,299.4654759111111,LEC
1,255.37095270325386,245.42929356567743,VET
2,200.6224705438048,197.86962644522586,VET
3,264.93260348953766,264.30304739365295,VET
4,244.08541583589744,224.2174121142857,VET
5,120.25517157703433,120.16183130697344,VET
6,183.5741491631978,175.41261308934753,VET
7,258.28697924444447,256.8395825333333,VET
8,287.3118275700095,288.3343909850431,LEC
9,300.2662698666667,303.2265871238095,LEC
10,306.93985356589695,309.51083328,LEC
11,241.21344878047898,217.44023282758621,VET
12,145.52561797893898,145.2886766847715,VET
13,257.08478260869566,257.19816583314287,LEC
14,289.59575018461743,290.1664603372104,LEC
15,298.481746031746,299.79874995047624,LEC
16,294.4981504588191,298.15797616,LEC
17,271.5841450943723,253.80850103466665,VET
18,187.39459513514635,176.56984759991886,VET
19,190.96049362039687,177.59610035986293,VET
20,180.4268776571947,189.67376693788705,LEC
21,249.17306326390704,244.60929415970696,VET
22,128.94004522333663,123.44880332186753,VET
23,203.80791231736575,210.83359424960952,LEC
24,276.18105497254857,278.821343539229,LEC
25,289.0,,VET
