Minisector,PER,LEC,Fastest
0,264.3578407137948,267.61504096117216,LEC
1,249.18256434567903,244.04719215407408,PER
2,167.1611354211795,153.02152207017716,PER
3,247.49314199161904,251.65750125569184,LEC
4,272.2218410524791,275.9210068888889,LEC
5,196.46068105770308,183.1206620010734,PER
6,122.56149049938756,117.32235093213806,PER
7,160.32711253853657,168.48553417212435,LEC
8,258.01252978649603,262.64722213333334,LEC
9,176.01897047017542,175.31236068059545,PER
10,185.3881872980213,189.84999930980393,LEC
11,259.2684995413333,257.9254335251679,PER
12,249.8489401914779,235.07232133333332,PER
13,257.4711305377289,259.8440111197329,LEC
14,284.0690520950964,286.8655795478261,LEC
15,285.1790388935818,288.7651289564069,LEC
16,150.78570367976567,150.6026688614888,PER
17,239.0538678095238,241.32782664888092,LEC
18,284.71642824986293,288.14208058964806,LEC
19,296.99829541818184,300.3388257454545,LEC
20,300.53219684848483,306.00941672341315,LEC
21,304.9866539877672,312.76190468934243,LEC
22,154.48797544977646,146.32087733049624,PER
23,92.28786225014181,92.45594074752017,LEC
24,180.45333113904763,183.996569458295,LEC
25,246.791664,,PER
