Minisector,PER,NOR,Fastest
0,302.64079548657077,301.09382216756654,PER
1,155.039626305775,153.86949530658285,PER
2,147.25844215361064,152.01265705642695,NOR
3,225.4460640590912,220.31732804532035,PER
4,287.6151578629095,283.66102625545074,PER
5,290.6814715398347,287.5077256732601,PER
6,141.15322342423335,152.07771211402377,NOR
7,141.96428748914244,138.67018266995595,PER
8,144.4972546646634,154.52134933496183,NOR
9,185.86141092519284,157.43544568802486,PER
10,126.47965323294484,131.7496812334651,NOR
11,134.01803228170377,132.94719738568912,PER
12,159.1155727659925,142.4611758139247,PER
13,268.3196016,259.19495918942545,PER
14,291.5655328872727,288.67851905517784,PER
15,153.67033619285465,155.040158759649,NOR
16,198.3857854004535,210.96515682415662,NOR
17,169.6176796624409,156.15838950663118,PER
18,271.22630585778086,265.52145409950197,PER
19,295.9567183610582,294.1834152865535,PER
20,311.12344105187304,308.2859231348918,PER
21,319.3966228710559,315.45791302675735,PER
22,323.47604169356725,320.0541353912782,PER
23,325.89923274816056,322.69570132764653,PER
24,326.56804686,322.15917946922787,PER
25,327.0,318.1738092190476,PER
