Minisector,PER,HAM,Fastest
0,293.5941900373804,281.8659765127806,PER
1,320.4683112022611,297.50035806653966,PER
2,311.8718549237605,291.1137230766497,PER
3,182.59613628459138,181.88300910825413,PER
4,216.25841728897083,218.22093086502466,HAM
5,204.78147891436078,207.8958414001185,HAM
6,181.3714856589932,187.0486333993715,HAM
7,206.84952305848307,211.00019482469114,HAM
8,255.35287096801133,260.8571828083628,HAM
9,264.41744397176853,271.3704650811415,HAM
10,161.80654702847923,164.94546822352476,HAM
11,232.44794425805813,235.01384970964293,HAM
12,116.61933462263552,116.10709363144426,PER
13,224.3203811855501,216.9329187178802,PER
14,277.2604607808577,273.73333170479447,PER
15,292.15185830272316,293.1618676215873,HAM
16,207.7528984319029,221.36361577449372,HAM
17,189.6102172186611,189.35342685139415,PER
18,267.45895531249334,262.4533515569001,PER
19,293.3716095240513,290.5533996231628,PER
20,306.09326024965975,301.1533598857143,PER
21,307.9430010011806,300.28741299786435,PER
22,261.7281491771428,274.8406482217713,HAM
23,116.85171662114486,120.25032100264607,HAM
24,240.04650371914613,231.56053585572585,PER
25,274.65376150833544,267.3041653333333,PER
