Minisector,HAD,OCO,Fastest
0,295.6410336769144,286.12246464199484,HAD
1,150.74709749845135,148.91951473511048,HAD
2,223.04765974859828,221.2688822283015,HAD
3,282.3652539579677,280.2222403743723,HAD
4,311.32239555555554,314.0481931282152,OCO
5,297.18405624407825,297.31305401065566,OCO
6,150.7349422630601,148.4383530347903,HAD
7,240.84186188691464,257.1365762836006,OCO
8,112.89501680023791,115.96400181948866,OCO
9,173.3762350551568,166.46032882966676,HAD
10,271.38583136705915,277.2788835059765,OCO
11,301.04614347962104,302.8115172342857,OCO
12,211.39576597099406,207.44788148875256,HAD
13,169.49097497605305,171.6513140291847,OCO
14,280.1830467383873,280.9509016342857,OCO
15,312.9089250852465,315.0645641037399,OCO
16,327.0683197745223,330.52739313131315,OCO
17,334.2824218,338.1744809001146,OCO
18,336.61175594285714,341.6016356780247,OCO
19,334.46494000788,342.70178815111115,OCO
20,189.26438152970803,193.16988928227389,OCO
21,176.16572941373033,180.52531091289038,OCO
22,280.24295882250607,283.730390021978,OCO
23,312.86910872622826,316.26487940693875,OCO
24,319.12610068624,329.48081380788443,OCO
25,,331.01176470588234,OCO
