Minisector,HUL,PER,Fastest
0,278.7142856337373,282.8156804121301,PER
1,248.60714914368242,241.32086097737005,HUL
2,267.0932510201504,267.2918209486473,PER
3,277.127279748128,279.4748266128651,PER
4,137.02326866769508,131.96206468694567,HUL
5,209.6928992874807,208.53625729299677,HUL
6,261.95510824531976,265.3764437038394,PER
7,281.28306876046133,286.2223119031795,PER
8,288.76576112569575,296.6197916,PER
9,292.05514704313725,302.06071976576817,PER
10,269.61573995599866,303.759453794958,PER
11,100.89425724712383,116.56969421836467,PER
12,223.4167225619385,197.66858219263366,HUL
13,270.2689329696819,267.2530937144482,HUL
14,266.8530943934976,286.95808231792284,PER
15,132.31865698687156,137.94459054360036,PER
16,203.79559469857423,189.36083852337617,HUL
17,255.7900104261647,248.2895829183779,HUL
18,242.65964801229856,266.45274917226305,PER
19,239.54991503132976,235.00856662388657,HUL
20,144.4261375696062,173.10004600597645,PER
21,192.45647523660983,156.23339850583497,HUL
22,174.10849935670186,192.7524129112301,PER
23,188.3922466777456,171.61098687457525,HUL
24,249.94765216170686,235.2354958326488,HUL
25,268.92500053333333,268.5050005333334,HUL
